"","COMID","A_ligamentina","A_confragosus","E_triquetra"
"976",5089880,0,0,0
"977",5089882,0,0,0
"978",5089888,0,0,0
"979",5089890,0,0,0
"980",5089892,0,0,0
"981",5089894,0,0,0
"982",5089898,0,0,0
"983",5089900,0,0,0
"984",5089902,0,0,0
"985",5089904,0,0,0
"986",5089912,0,0,0
"987",5089914,1,0,0
"988",5089916,1,0,0
"989",5089918,0,0,0
"990",5089920,1,0,0
"991",5089922,0,0,0
"992",5089926,0,0,0
"993",5089932,0,0,0
"994",5089938,0,0,0
"995",5089946,0,0,0
"996",5089952,0,0,0
"997",5089970,0,0,0
"998",5089978,1,0,0
"999",5089984,1,0,0
"1000",5089986,0,0,0
"1001",5089990,0,0,0
"1002",5090004,1,0,0
"1003",5090010,1,0,0
"1004",5090014,0,0,0
"1005",5090052,1,0,0
"1006",5090062,0,0,0
"1007",5091680,0,0,0
"1008",5091696,0,0,0
"1009",5091702,0,0,0
"1010",5091732,0,0,0
"1011",5091830,0,0,0
"1012",5091838,0,0,0
"1013",5091852,0,1,0
"1014",5091872,0,1,0
"1015",5091974,0,1,0
"1016",5092024,1,1,0
"1017",5092042,0,1,0
"1018",5092074,1,1,0
"1019",5092092,1,0,0
"1020",5092114,0,0,0
"1021",5092130,1,0,0
"1022",5092148,0,0,0
"1023",5092160,0,1,0
"1024",5092202,0,0,0
"1025",5092220,0,0,0
"1026",5092222,0,0,0
"1027",5092234,1,1,0
"1028",5092236,1,0,0
"1029",5092254,0,1,0
"1030",5092378,0,0,0
"1031",5092522,1,0,0
"1032",5092542,1,0,0
"1033",5092550,0,0,0
"1034",5092552,0,0,0
"1035",5092572,1,0,0
"1036",5092582,0,0,0
"1037",5092586,1,0,0
"1038",5092590,1,0,0
"1039",5092594,1,0,0
"1040",5092598,1,0,0
"1041",5092612,0,0,0
"1042",5092614,1,0,0
"1043",5092616,1,0,1
"1044",5092652,0,0,0
"1045",5092656,0,0,0
"1046",5092658,1,0,0
"1047",5092660,0,0,0
"1048",5092664,1,0,0
"1049",5092674,1,0,0
"1050",5092676,1,0,0
"1051",5092684,1,0,0
