Site,G5,G11,NAWQA,NRSA,WSA,DRAINAGE,SLOP_PCT,ELEV_AVG,ELEV_MIN,ELEV_MAX,ELEV_RNG,ECO3_39,ECO3_45,PPTAVG_C,PPTAVG_B,T_AVG_C,T_AVG_B,T_MIN_B,T_MAX_B,C_Mnprecp,Mnprecip,WD_JAN,WD_MAR,WD_APR,WD_JUL,WD_AUG,Wetdays,ET,PET_B,FST32F_B,LST32F_B,TOPWET,RF,PERHOR,Wat_Tab,CLAYAVE,SANDAVE,KFACT_UP,NO10_AV,BDAVE,MgO_PCT,RECHARGE,Year,DoY
BDB26125,4,6,1,0,0,21.0411,26.66,368.08,281.28,493.24,211.96,0,0,114.4,114.7,10.66,10.5,4.52,17.49,69.81,70.69,14,13,13,11,10,2.06,66.06,682.24,282.24,128.76,11.98,116.555,4.73,-27.38,32.38,11.88,0.38,77.39,1.42,2.99,147.34,1998,226
BDB27429,4,9,1,0,0,443.9484,10.22,494.16,312.78,615.87,303.09,0,0,138.8,144.5,13,12.74,6.24,19.03,89,89.86,12,12,11,11.23,9.43,1.94,70.45,755,288.02,110.57,12.31,248.105,1.86,-10.41,23.65,29.5,0.29,82.41,1.35,0.96,230.7,1997,188
BDB27508,4,9,1,0,0,68.3262,26.6,543.7,332.98,881.76,548.78,0,17.23,130.8,136.3,14.22,13.74,6.49,19.92,95.55,102.38,9.75,10.23,8.91,11.23,10.17,1.9,74.53,797.64,290.42,113.73,10.27,243.593,8.37,-44.59,27.27,35.89,0.23,89.49,1.37,2.33,314.99,1996,171
BDB27570,1,1,1,0,0,1954.665,16.05,457.58,241.7,957.31,715.61,0,0,99.7,101.8,10.07,9.98,3.59,15.28,62.29,60.94,8.71,9.8,10.42,9.59,8.81,1.95,59.7,668.21,279.93,124.91,11.5,105.962,0.5,-25.99,21.59,27.94,0.24,61.65,1.4,3.23,177.78,1993,203
BDB27572,3,4,1,0,0,102.8844,13.98,255.53,104,532.5,428.5,0,0,108,113.1,11.01,10.11,4.54,15.63,66.71,69.12,9,9.08,10,9,9,1.84,60.51,717.9,288.58,120.37,11.52,133.938,1.38,-41.88,19.58,29.93,0.22,60.93,1.42,1.76,257.42,1993,207
BDB27586,1,1,1,0,0,626.8275,15.67,291.06,104.51,687.35,582.84,0,0,107.7,109.2,10.86,10.62,4.77,16,65.63,65.96,8.59,8.95,10.06,9.27,8.6,1.84,61.86,709.9,290.97,116.57,11.53,121.909,0.8,-33.31,19.79,30.63,0.22,59.05,1.4,2.38,254.01,1993,222
BDB27803,1,1,1,0,0,3753.6507,28.57,646.2,326.92,1428.44,1101.52,0,0,124.7,122,12.71,11.83,5.62,18.35,81.06,79.74,11.74,11.89,11.02,11.53,9.92,1.97,68.09,745.67,282.33,123.13,11.3,154.202,4.37,-39.87,36.1,21.37,0.29,73.08,1.4,4.67,201.42,1996,170
BDB28118,3,5,1,0,0,117.4563,13.15,341.98,165.81,629.08,463.27,0,0,109.9,115.1,10.9,10.47,5.24,16.09,69,72.09,9,9.18,10.13,9.11,9.09,1.8,63.03,710.51,288.09,117.01,11.08,128.194,1.13,-37.54,19.64,31.89,0.23,61.38,1.43,2.64,240.91,1995,213
BDB28180,5,10,1,0,0,2.2968,10.53,326.98,276.37,367.44,91.07,0,100,140.4,140.4,14.95,14.92,9.08,21.68,94,94,11,11,9,10,8,1.99,80.31,820.7,302.41,98.59,12.88,287.386,5,-20.84,32.87,37.29,0.25,89.52,1.38,2.96,419.55,1995,212
BDB28228,3,4,1,0,0,27.1764,17.01,305.51,213.23,477.95,264.72,0,0,141.8,144.5,14.91,14.76,9.05,21.57,78,78.66,10,10,9,10,8,1.92,76.08,834.9,297.98,98.06,11.97,311.764,6.3,-24.25,30.29,28.64,0.26,68.88,1.47,3.44,250.13,2000,165
BDB28238,3,4,1,0,0,31.3542,15.54,278.17,204.25,434.35,230.1,0,0,141.2,142.7,15.1,15.05,9.25,21.74,77,77.67,10.09,10.44,9,10,8,1.9,79.08,841.47,300.01,96.86,12.14,309.597,6.39,-19.53,32.82,24.55,0.28,59.85,1.47,3.56,247.83,2000,161
BDB28252,3,4,1,0,0,49.4334,11.74,268.85,176.85,623.93,447.08,0,0,136.8,139.4,15.94,15.76,9.07,22.36,78.18,78.95,10,9,8,10,8,1.85,78.86,879.54,299.8,96.45,11.62,317.206,9.68,-19.4,37.61,22.23,0.3,86.4,1.39,3.15,265.03,2000,158
BDB28958,4,7,1,0,0,23.6736,5.59,102.75,65.05,129.05,64,0,100,109.7,109.9,13.11,13.04,7,19.32,70.16,69.42,8,8,8.98,8.98,8,1.76,69.76,788.1,296.39,106.61,11.66,154.516,1,-18,28.13,38.48,0.29,82.24,1.35,1.67,103.72,1994,235
BDB28964,4,9,1,0,0,47.6379,20.3,377.06,222.93,699.59,476.66,0,0,96.1,99.2,11.4,10.88,4.34,17.21,50.4,53.5,10.69,11.24,11.34,11,10.1,2.02,63.53,715.74,280.84,123.5,11.05,92.874,1.09,-27.23,20.05,30.73,0.23,56.29,1.39,1.82,220.18,1995,220
BDB28966,4,8,1,0,0,99.4491,20.81,821.23,615.98,1243.58,627.6,0,0,101.8,105.4,9.72,9.48,2.79,15.75,62.54,64.94,9.72,11.1,11.15,11.81,10.26,1.99,61.98,622.91,271.45,131.72,11.26,108.063,0.86,-37.71,23.05,31.09,0.23,62.62,1.4,2.52,185.62,1995,227
BDB28967,4,8,1,0,0,23.9535,35.93,989.18,686.23,1396.69,710.46,0,0,103.9,112.2,8.87,8.78,2.2,14.08,71.33,73.9,12.12,13.15,12.64,12.09,11,2.02,58.16,592.5,274.3,130.51,10.36,112.195,3.68,-42.39,24.89,26.81,0.24,65.39,1.39,2.08,193.83,1995,228
BDB28968,4,8,1,0,0,63.1413,35.89,1057.29,619.07,1462.89,843.82,0,0,102.8,121.6,8.38,8.07,1.36,13.36,89,88.08,14.43,14.48,13.93,13.5,11.9,2.04,57.66,575.03,269.91,138.12,11.18,129.165,4.2,-36.45,21.02,26.87,0.21,64.86,1.41,1.55,195.46,1995,223
BDB28969,4,8,1,0,0,51.6609,29.98,716.78,336.92,1259.16,922.24,0,0,93,104.4,9.8,9.54,3.21,15.83,64.81,70.17,13.94,13.59,12.7,12.49,11.36,2.02,63.01,637,266.23,138.56,10.18,104.394,2.25,-36.05,21.07,29.06,0.22,58.94,1.39,1.73,203.97,1995,222
BDB29568,4,8,1,0,0,57.1959,16.77,372.47,229.75,803.7,573.95,0,0,88.9,94.8,11.66,11.01,4.26,17.7,45,51.57,10.14,10.92,11,11.01,10.13,2.01,64.26,721.8,278.46,125.51,13.64,95.241,1.14,-17.61,19.93,30.6,0.23,57.7,1.39,2.11,167.18,1995,221
BDB29571,5,10,1,0,0,17.4717,17.17,314.23,209.29,548.5,339.21,0,0,97.5,97.6,10.94,10.94,4.72,17.33,59,59,8.17,10,10,9.97,9,1.95,65.83,699.57,283.28,120.95,11.32,103.446,1,-17.78,17.61,33.35,0.21,52.45,1.37,1.66,127.96,1995,219
BDB29573,4,7,1,0,0,41.5404,21.19,662.39,474.04,1004.04,530,0,0,110.3,110.3,10.03,10.03,3.36,16.99,58.59,58.59,8,9.7,10,11.23,10.4,1.94,66.5,638.25,274.32,133.86,10.65,114.612,1.81,-35.66,21.77,31.25,0.22,62.45,1.41,1.85,126.25,1995,223
BDB29654,4,8,1,0,0,51.2631,19.76,426.04,241.17,656.69,415.52,0,0,98,98.2,11.05,10.7,4.14,17.36,59.12,56.62,7.71,9.49,10,10.85,9.42,1.92,66.62,696.65,277.82,127.68,10.68,103.908,1.31,-25.8,16.09,40.04,0.2,60.7,1.39,3,128.24,1995,220
